epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,5574.58,0.41732,0.20189,0.781,0.87587,0.77759,0.84163,0.60378,0.68828,0.31976,0.83276,0.000676802,0.000676802,0.000676802
62,5665.71,0.41996,0.20375,0.7824,0.79493,0.76883,0.80356,0.58327,0.68899,0.32342,0.83097,0.000660299,0.000660299,0.000660299
63,5756.8,0.41712,0.20158,0.78124,0.84062,0.77409,0.83571,0.59646,0.69056,0.33249,0.83285,0.000643795,0.000643795,0.000643795
64,5847.86,0.41542,0.20089,0.78152,0.83547,0.78224,0.83587,0.59277,0.70765,0.33606,0.83253,0.000627292,0.000627292,0.000627292
65,5938.97,0.41611,0.20134,0.78098,0.87666,0.76748,0.83285,0.5938,0.68848,0.31553,0.83191,0.000610789,0.000610789,0.000610789
66,6030.1,0.4131,0.19989,0.78101,0.83123,0.76507,0.81829,0.59924,0.67145,0.3182,0.83006,0.000594286,0.000594286,0.000594286
67,6121.34,0.41053,0.19934,0.78121,0.89794,0.77749,0.85152,0.6181,0.67789,0.31384,0.83113,0.000577782,0.000577782,0.000577782
68,6213.9,0.41018,0.19653,0.78099,0.8798,0.76246,0.82828,0.60128,0.6657,0.31227,0.8277,0.000561279,0.000561279,0.000561279
69,6305.08,0.40566,0.19251,0.78034,0.87161,0.74664,0.82286,0.60037,0.67542,0.31232,0.83041,0.000544776,0.000544776,0.000544776
70,6396.17,0.404,0.19214,0.78063,0.82156,0.77765,0.82232,0.58571,0.69771,0.31943,0.83471,0.000528272,0.000528272,0.000528272
71,6487.35,0.40236,0.19268,0.77978,0.8406,0.76685,0.81939,0.58924,0.68102,0.3098,0.83054,0.000511769,0.000511769,0.000511769
72,6578.56,0.4027,0.19226,0.78046,0.87929,0.79027,0.84723,0.61425,0.69073,0.3153,0.83075,0.000495266,0.000495266,0.000495266
73,6669.76,0.40083,0.19221,0.77938,0.81015,0.79942,0.84036,0.60008,0.68869,0.32336,0.83139,0.000478762,0.000478762,0.000478762
74,6760.98,0.40158,0.19239,0.77968,0.87359,0.78143,0.84317,0.60846,0.67744,0.31729,0.82986,0.000462259,0.000462259,0.000462259
75,6852.16,0.40007,0.19044,0.78027,0.86985,0.77444,0.83991,0.60958,0.6872,0.32266,0.83175,0.000445756,0.000445756,0.000445756
76,6943.19,0.39722,0.18928,0.78014,0.85701,0.78544,0.84703,0.6164,0.67618,0.31116,0.83258,0.000429253,0.000429253,0.000429253
77,7034.43,0.39559,0.18611,0.77847,0.8192,0.77016,0.82649,0.59374,0.68214,0.3188,0.83252,0.000412749,0.000412749,0.000412749
78,7125.69,0.39432,0.18672,0.77935,0.80638,0.80705,0.8404,0.60165,0.68705,0.3144,0.83278,0.000396246,0.000396246,0.000396246
79,7216.75,0.39131,0.18471,0.77889,0.84598,0.77991,0.84328,0.60683,0.67702,0.32061,0.83047,0.000379743,0.000379743,0.000379743
80,7307.89,0.39135,0.18519,0.77927,0.84244,0.77629,0.83625,0.60297,0.68574,0.31159,0.83109,0.000363239,0.000363239,0.000363239
81,7399.15,0.39113,0.18414,0.77743,0.85255,0.75899,0.83151,0.60378,0.68888,0.31436,0.83277,0.000346736,0.000346736,0.000346736
82,7490.45,0.38749,0.18296,0.77781,0.86597,0.75567,0.83206,0.59947,0.69225,0.30976,0.83287,0.000330233,0.000330233,0.000330233
83,7581.46,0.38728,0.18232,0.77779,0.8509,0.77809,0.84471,0.61471,0.66723,0.30756,0.83151,0.000313729,0.000313729,0.000313729
84,7672.58,0.38575,0.18051,0.77782,0.84054,0.77876,0.84336,0.61303,0.6674,0.30174,0.83053,0.000297226,0.000297226,0.000297226
85,7763.51,0.38275,0.17907,0.77713,0.83159,0.78388,0.83868,0.60278,0.68656,0.31871,0.83171,0.000280723,0.000280723,0.000280723
